Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,CAPE (Shiller),CAPE    (ERN),SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,Equity Drawdown (Real!)
1,1871,"1,871.00",N/A,12.464,100.00,100.00,100.00,100.00,100.00,12.46,12.46,22.59,22.59,11.0973,10.9992,,,,,,,,,,Fama French since 1926,,,,,,600.00,0.000%
2,1871,"1,871.08",N/A,12.845,101.87,102.29,104.17,100.53,101.87,12.84,12.84,22.59,22.59,10.9193,10.9992,-1.15%,-0.74%,1.09%,-2.45%,-1.15%,0.00%,0.00%,-2.96%,-2.96%,0.00%,0.00%,-1.07%,"92,953.34",9.66,"1,475.64",0.00,-1.151%
3,1871,"1,871.17",N/A,13.035,104.87,103.44,106.05,101.06,104.87,13.03,13.03,22.59,22.59,11.1932,10.9992,1.44%,-0.36%,0.32%,-0.94%,1.44%,0.00%,0.00%,-1.46%,-1.46%,0.00%,0.00%,1.08%,"93,961.39",10.06,"1,511.68",0.00,0.000%
4,1871,"1,871.25",N/A,12.559,108.45,105.05,108.90,101.60,108.45,12.56,12.56,22.59,22.59,12.0802,11.9470,7.33%,5.40%,6.58%,4.34%,7.33%,0.00%,0.00%,3.79%,3.79%,0.00%,0.00%,6.94%,"92,959.25",9.87,"1,490.72",0.00,0.000%
5,1871,"1,871.33",N/A,12.274,111.47,106.73,111.91,102.13,111.47,12.27,12.27,22.59,22.59,12.5978,12.6425,5.18%,3.96%,5.16%,2.87%,5.18%,0.00%,0.00%,2.33%,2.33%,0.00%,0.00%,4.93%,"86,925.38",9.55,"1,533.65",0.00,0.000%
6,1871,"1,871.42",N/A,12.083,111.08,107.95,113.98,102.67,111.08,12.08,12.08,22.59,22.59,12.6060,12.6902,1.22%,2.74%,3.45%,2.11%,1.22%,0.00%,0.00%,1.58%,1.58%,0.00%,0.00%,1.52%,"82,838.05",9.22,"1,543.98",0.00,0.000%
7,1871,"1,871.50",N/A,12.083,109.55,106.63,110.64,103.22,109.55,12.08,12.08,22.59,22.59,12.2862,12.3717,-1.38%,-1.22%,-2.93%,0.53%,-1.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.35%,"81,599.67",8.64,"1,460.89",0.00,-1.380%
8,1871,"1,871.58",N/A,11.893,111.18,107.50,111.95,103.76,111.18,11.89,11.89,22.59,22.59,12.5467,12.6077,3.11%,2.43%,2.81%,2.14%,3.11%,0.00%,0.00%,1.60%,1.60%,0.00%,0.00%,2.97%,"82,718.80",8.95,"1,484.94",0.00,0.000%
9,1871,"1,871.67",N/A,12.179,112.81,108.91,114.39,104.31,112.81,12.18,12.18,22.59,22.59,12.3054,12.3749,-0.91%,-1.07%,-0.21%,-1.83%,-0.91%,0.00%,0.00%,-2.34%,-2.34%,0.00%,0.00%,-0.95%,"80,335.17",8.60,"1,462.26",0.00,-0.910%
10,1871,"1,871.75",N/A,12.369,107.49,108.59,113.19,104.86,107.49,12.37,12.37,22.59,22.59,11.4707,11.4874,-6.18%,-1.83%,-2.58%,-1.02%,-6.18%,0.00%,0.00%,-1.54%,-1.54%,0.00%,0.00%,-5.32%,"81,102.01",9.04,"1,513.56",0.00,-7.036%
